City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Rikitea,3,PF,1584331013,79,-23.12,-134.97,79.63,12.71
Fortuna,75,US,1584331126,80,40.6,-124.16,42.8,9.17
Hermanus,50,ZA,1584331037,77,-34.42,19.23,64.63,32.01
Severo-Kuril'sk,97,RU,1584331016,95,50.68,156.12,24.84,46.73
Port Keats,0,AU,1584331514,41,-14.25,129.55,94.44,3.98
Cherskiy,94,RU,1584331125,85,68.75,161.3,8.53,6.58
Khovd,3,MN,1584331515,20,48.01,91.64,35.8,3.71
Ushuaia,40,AR,1584331016,71,-54.8,-68.3,53.6,4.38
Torbay,20,CA,1584331103,73,47.67,-52.73,26.01,9.17
Kiama,75,AU,1584331235,72,-34.68,150.87,73.0,12.75
Barrow,90,US,1584330838,85,71.29,-156.79,14.0,13.87
Kampong Thom,51,KH,1584331515,47,12.71,104.89,90.39,4.43
Codrington,0,AU,1584331272,76,-38.27,141.97,60.51,13.85
Khatanga,19,RU,1584331017,93,71.97,102.5,-25.28,11.5
Albany,1,US,1584330903,67,42.6,-73.97,30.0,5.82
Tuktoyaktuk,20,CA,1584330857,76,69.45,-133.04,-9.4,2.37
Vila Franca do Campo,20,PT,1584331037,76,37.72,-25.43,50.0,2.24
Jamestown,1,US,1584331036,50,42.1,-79.24,28.99,10.29
Mataura,97,NZ,1584331038,66,-46.19,168.86,55.0,11.99
Port Alfred,100,ZA,1584330832,98,-33.59,26.89,63.0,10.76
Saint George,1,US,1584331018,66,37.1,-113.58,55.4,9.17
Bredasdorp,76,ZA,1584330841,88,-34.53,20.04,62.6,11.41
Nacogdoches,90,US,1584331517,77,31.6,-94.63,64.0,5.82
Atuona,0,PF,1584331013,65,-9.8,-139.03,82.2,8.75
George Town,20,MY,1584330862,55,5.41,100.34,89.6,4.7
Kavieng,100,PG,1584331148,72,-2.57,150.8,83.88,9.55
Puri,20,IN,1584331517,74,19.8,85.85,82.4,1.12
Nikolskoye,90,RU,1584331014,88,59.7,30.79,33.01,11.18
Kapaa,20,US,1584331058,65,22.08,-159.32,78.8,5.82
Yar-Sale,0,RU,1584331518,95,66.83,70.83,-10.44,4.43
Eydhafushi,42,MV,1584331518,72,5.1,73.07,83.66,9.42
Bluff,67,NZ,1584330861,66,-46.6,168.33,55.0,11.99
Vaini,90,TO,1584331062,83,-21.2,-175.2,84.2,12.75
Arrondissement de Saint-Denis,95,FR,1584331518,87,48.92,2.33,46.99,8.05
Buala,100,SB,1584331518,75,-8.14,159.59,83.62,9.55
Sergeevka,25,KZ,1584331518,92,53.88,67.42,28.58,4.85
Punta Arenas,75,CL,1584330934,87,-53.15,-70.92,55.4,16.11
Mount Isa,39,AU,1584331519,23,-20.73,139.5,93.2,11.41
Macas,100,EC,1584331519,97,-2.32,-78.12,64.65,2.77
Half Moon Bay,90,US,1584331519,70,37.46,-122.43,50.0,6.11
Wanaka,63,NZ,1584331519,58,-44.7,169.15,53.44,6.69
Hobart,20,AU,1584330832,52,-42.88,147.33,69.01,14.99
Vostok,28,RU,1584331035,76,46.49,135.88,19.0,11.72
Emerald,0,AU,1584331520,45,-23.53,148.17,86.0,12.75
Takoradze,50,GH,1584331520,92,4.88,-1.76,78.22,4.56
Marawi,32,PH,1584331535,78,8.0,124.29,82.99,7.0
Qasigiannguit,93,GL,1584331191,47,68.82,-51.19,-9.4,8.05
Timrå,0,SE,1584331535,55,62.49,17.33,33.8,13.87
Arraial do Cabo,0,BR,1584330841,83,-22.97,-42.03,77.9,26.57
Ternate,100,ID,1584331535,63,0.8,127.4,84.47,4.38
Biloela,0,AU,1584331536,40,-24.42,150.5,81.81,14.63
Poum,0,NC,1584331059,79,-20.23,164.02,81.91,11.81
Waipawa,100,NZ,1584331234,63,-41.41,175.52,69.01,12.75
Mayumba,91,GA,1584331536,81,-3.43,10.66,82.26,5.35
Erzin,75,TR,1584331536,100,36.96,36.2,62.01,3.36
Tezu,100,IN,1584331536,65,27.92,96.17,72.0,1.25
Busselton,91,AU,1584330834,58,-33.65,115.33,71.01,3.0
Lerwick,9,GB,1584331536,69,60.15,-1.15,39.2,6.93
Avarua,100,CK,1584331080,79,-21.21,-159.78,84.2,8.05
Laï,0,TD,1584331537,13,9.4,16.3,70.02,4.94
Kloulklubed,75,PW,1584331537,70,7.04,134.26,86.0,13.87
Neepawa,90,CA,1584331537,92,50.23,-99.47,24.8,14.99
Paita,100,PE,1584331188,54,-5.09,-81.11,81.64,5.37
Provideniya,90,RU,1584330900,92,64.38,-173.3,23.0,6.71
Salalah,20,OM,1584331039,73,17.02,54.09,73.4,3.36
Paraná,100,AR,1584331538,95,-31.73,-60.52,70.0,6.2
Guangyuan,96,CN,1584331538,58,32.44,105.82,57.0,7.72
Leningradskiy,0,RU,1584330893,73,69.38,178.42,13.6,4.23
Tasiilaq,100,GL,1584330846,50,65.61,-37.64,8.6,14.99
Grand-Santi,43,GF,1584331538,72,4.25,-54.38,76.66,5.21
Dukat,100,RU,1584331538,90,62.55,155.55,3.76,5.61
Cururupu,100,BR,1584331538,99,-1.83,-44.87,73.63,3.15
Poso,85,ID,1584331539,75,-1.4,120.75,75.78,4.76
Saint Anthony,90,US,1584331104,64,45.02,-93.22,36.0,3.36
Upernavik,0,GL,1584331231,78,72.79,-56.15,-22.16,6.15
Tiksi,100,RU,1584331539,81,71.69,128.87,9.09,20.58
Thompson,90,CA,1584330856,85,55.74,-97.86,15.8,12.75
Tegul'det,100,RU,1584331539,87,57.31,88.17,36.54,15.05
Lázaro Cárdenas,25,MX,1584331539,88,17.96,-102.2,75.83,3.65
Vila Velha,20,BR,1584331540,88,-20.33,-40.29,77.0,3.36
Ponta do Sol,75,PT,1584331142,82,32.67,-17.1,59.0,10.29
Moorhead,90,US,1584331540,92,46.87,-96.77,32.0,10.29
Nemuro,75,JP,1584331540,63,43.32,145.57,30.2,3.36
Esim,50,GH,1584331540,92,4.87,-2.24,78.22,4.56
Plettenberg Bay,92,ZA,1584331540,86,-34.05,23.37,62.04,10.36
Tigil',44,RU,1584331540,75,57.8,158.67,33.84,19.48
Bambous Virieux,75,MU,1584331059,94,-20.34,57.76,78.01,2.24
Korla,96,CN,1584331105,21,41.76,86.15,39.74,3.83
Comodoro Rivadavia,81,AR,1584331541,52,-45.87,-67.5,66.2,6.93
Cape Town,20,ZA,1584330815,68,-33.93,18.42,64.4,14.99
Adrar,0,MR,1584331165,20,20.5,-10.07,67.33,12.62
Makakilo City,90,US,1584331251,83,21.35,-158.09,78.8,4.7
Port Elizabeth,75,ZA,1584330835,93,-33.92,25.57,62.6,5.82
Acapulco de Juárez,20,MX,1584331191,78,16.86,-99.89,82.4,8.05
Saint-Philippe,90,RE,1584331058,74,-21.36,55.77,78.8,11.41
Ribeira Grande,4,PT,1584331035,79,38.52,-28.7,56.34,9.33
Faanui,8,PF,1584330835,71,-16.48,-151.75,83.32,10.18
Chokurdakh,0,RU,1584331059,87,70.63,147.92,-9.85,5.7
Bethel,1,US,1584331078,32,41.37,-73.41,42.8,4.7
Nanortalik,19,GL,1584331142,65,60.14,-45.24,18.41,24.92
Mossamedes,100,AO,1584331044,78,-15.2,12.15,75.52,5.86
Valparaíso,0,CL,1584331558,87,-33.04,-71.63,55.4,3.36
Esperance,40,AU,1584331080,57,-33.87,121.9,78.8,8.05
Chengde,0,CN,1584331558,41,40.97,117.94,39.83,9.89
Kadaura,99,IN,1584331558,42,25.98,79.85,69.69,6.24
Kashiwazaki,100,JP,1584331558,80,37.37,138.55,41.0,31.59
Ocampo,35,MX,1584331558,70,21.65,-101.5,57.74,6.06
Qaanaaq,100,GL,1584330829,51,77.48,-69.36,-2.33,6.87
Inuvik,75,CA,1584331559,70,68.35,-133.72,-0.4,4.7
Hong Kong,20,HK,1584331080,56,22.29,114.16,75.99,18.34
